timestamp_epoch,source_throughput_records_per_sec,total_managed_memory_used_bytes,total_managed_memory_total_bytes,total_slots_used
1774041294,7772.683333333333,497025024.0,1331439878.0,6.0
1774041299,7772.683333333333,497025024.0,1331439878.0,6.0
1774041304,8490.266666666666,497025024.0,1331439878.0,6.0
1774041309,8490.266666666666,497025024.0,1331439878.0,6.0
1774041314,8490.266666666666,497025024.0,1331439878.0,6.0
1774041319,7349.033333333334,497025024.0,1331439878.0,6.0
1774041324,7349.033333333334,497025024.0,1331439878.0,6.0
1774041329,7666.166666666667,497025024.0,1331439878.0,6.0
1774041334,7666.166666666667,497025024.0,1331439878.0,6.0
1774041339,7916.366666666667,497025024.0,1331439878.0,6.0
1774041344,7916.366666666667,497025024.0,1331439878.0,6.0
1774041349,6842.316666666667,497025024.0,1331439878.0,6.0
1774041354,6842.316666666667,497025024.0,1331439878.0,6.0
1774041359,7128.116666666667,497025024.0,1331439878.0,6.0
1774041364,7128.116666666667,497025024.0,1331439878.0,6.0
1774041369,6453.15,497025024.0,1331439878.0,6.0
1774041374,6453.15,497025024.0,1331439878.0,6.0
1774041379,5115.316666666667,497025024.0,1331439878.0,6.0
1774041384,5115.316666666667,497025024.0,1331439878.0,6.0
1774041389,4531.2,497025024.0,1331439878.0,6.0
1774041394,4531.2,497025024.0,1331439878.0,6.0
1774041399,4737.933333333333,497025024.0,1331439878.0,6.0
1774041404,4737.933333333333,497025024.0,1331439878.0,6.0
1774041409,4743.933333333333,497025024.0,1331439878.0,6.0
1774041414,4743.933333333333,497025024.0,1331439878.0,6.0
1774041419,4798.833333333333,497025024.0,1331439878.0,6.0
1774041424,4798.833333333333,497025024.0,1331439878.0,6.0
1774041429,5656.1,497025024.0,1331439878.0,6.0
1774041434,5656.1,497025024.0,1331439878.0,6.0
1774041439,6872.533333333334,497025024.0,1331439878.0,6.0
1774041444,6872.533333333334,497025024.0,1331439878.0,6.0
1774041449,6872.533333333334,497025024.0,1331439878.0,6.0
1774041454,6252.05,497025024.0,1331439878.0,6.0
1774041459,6252.05,497025024.0,1331439878.0,6.0
1774041464,5844.733333333334,497025024.0,1331439878.0,6.0
1774041469,5844.733333333334,497025024.0,1331439878.0,6.0
1774041474,6768.966666666666,497025024.0,1331439878.0,6.0
1774041479,6768.966666666666,497025024.0,1331439878.0,6.0
1774041484,5917.533333333334,497025024.0,1331439878.0,6.0
1774041489,5917.533333333334,497025024.0,1331439878.0,6.0
